Sample_name	Hg	Hg_marker	Total_reads	Valid_markers	QC-score	QC-1	QC-2	QC-3
NA24143_phased_possorted_bam	NA		7040012	13313	0	0	0	0
NA20348.mapped.ILLUMINA.bwa.ASW.low_coverage.20101123	E-CTS1307*(xCTS9180)	Z15910;CTS5349;etc.	20205335	112119	1.0	1.0	1.0	1.0
NA19771.mapped.ILLUMINA.bwa.MXL.low_coverage.20101123	Q-Z782*(xBZ1032)	Y2825;CTS8525;etc.	18916240	104806	1.0	1.0	1.0	1.0
NA19384.mapped.ILLUMINA.bwa.LWK.low_coverage.20101123	B-Y18023*(xM192)	Y20665;Y38157;etc.	21164590	112327	1.0	1.0	1.0	1.0
NA19209_hg19	R-L51	Y410	4430036	11790	1.0	1.0	1.0	1.0
NA19201_hg19	P-P226*(xQ)	PF5865	3652574	9569	1.0	1.0	1.0	1.0
NA18988.mapped.ILLUMINA.bwa.JPT.low_coverage.20120522	D-FGC6373	FGC6373	22334407	125364	1.0	1.0	1.0	1.0
NA18612.mapped.ILLUMINA.bwa.CHB.low_coverage.20101123	C-PH2194*(xF21131)	PH2194;PH4484	19261193	103403	1.0	1.0	1.0	1.0
NA18582_hg19	P-P337	M1258	5498921	13014	1.0	1.0	1.0	1.0
NA18572_hg19	O-F273*(xF1391)	F273	18445174	87909	1.0	1.0	1.0	1.0
NA18547_hg19	R-L52	CTS7650	5169972	12344	0.75	1.0	1.0	0.75
NA18486.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522	E-Z1724	CTS680;Z1723;etc.	21007670	115821	1.0	1.0	1.0	1.0
NA12154.mapped.ILLUMINA.bwa.CEU.low_coverage.20101123	R-DF23*(xZP149,Z2961,Y24525,Y31577)	S193	21363153	116595	1.0	1.0	1.0	1.0
NA07037_hg19	R-Y144501	Y144488	6742254	17123	0.8	1.0	1.0	0.8
NA07000_hg19	R-L52	CTS7650	4334999	11460	1.0	1.0	1.0	1.0
NA06994_hg19	I*(xI2)	PF3706;PF3795;etc.	15936838	74065	0.7222222222222222	1.0	0.7222222222222222	1.0
NA06986_hg19	R-CTS6353*(xZ33619,Y63269,FT264333,Y32883)	Z8180;S19089;etc.	21775972	104195	1.0	1.0	1.0	1.0
NA06985_hg19	NA		127784	299	0	0	0	0
HG03976.mapped.ILLUMINA.bwa.ITU.low_coverage.20121211	J-Y947	Y948;Y1000;etc.	18528388	94572	1.0	1.0	1.0	1.0
HG03745.mapped.ILLUMINA.bwa.STU.low_coverage.20121211	H-Z5890*(xY262918)	Z5890	21160128	118116	1.0	1.0	1.0	1.0
HG03742.mapped.ILLUMINA.bwa.ITU.low_coverage.20121211	K-Y28301	Y29241;Y28495;etc.	21779601	120851	0.9375	0.9375	1.0	1.0
HG03705.mapped.ILLUMINA.bwa.PJL.low_coverage.20130415	R-YP1506*(xFGC42858)	YP1506	19971724	110639	1.0	1.0	1.0	1.0
HG03695.mapped.ILLUMINA.bwa.STU.low_coverage.20121211	L-Y182445	Y182449;Y182452;etc.	21591659	119792	1.0	1.0	1.0	1.0
HG02645.mapped.ILLUMINA.bwa.GWD.low_coverage.20121211	A-Y429	Y429	22643172	126163	1.0	1.0	1.0	1.0
HG01256.mapped.ILLUMINA.bwa.CLM.low_coverage.20130415	J-M10096	ZS606;ZS64;etc.	22145448	123180	1.0	1.0	1.0	1.0
HG01097.mapped.ILLUMINA.bwa.PUR.low_coverage.20101123	G-Y8903*(xBY27899,Z6748)	Y8903	20221293	111297	1.0	1.0	1.0	1.0
HG00634.mapped.ILLUMINA.bwa.CHS.low_coverage.20101123	O-F2064*(xY47392,BY182144,Y200506,PH2797,Y239146)	CTS11890;F3323;etc.	18730150	101337	1.0	1.0	1.0	1.0
HG00329.mapped.ILLUMINA.bwa.FIN.low_coverage.20101123	N-CTS5057*(xFT160557)	CTS5057	19803342	111769	1.0	1.0	1.0	1.0
HG00190.mapped.ILLUMINA.bwa.FIN.low_coverage.20101123	I-Y14991*(xY19917)	Y15504;Y15506;etc.	17999296	98830	1.0	1.0	1.0	1.0
HG00096.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522_chrY	R-S7361*(xY29908,Y32811)	Y18447	19882969	110288	1.0	1.0	1.0	1.0
HG00096.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522	R-S7361*(xY29908,Y32811)	Y18447	19882969	110288	1.0	1.0	1.0	1.0
